# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
493,NUEVA GERMANIA,NUEVA GERMANIA,16,1
494,CHACO-I,CHACO-I,16,1
495,CHAMORRO CUE,CHAMORRO CUE,16,1
496,COL. NUEVA ITALIA,COL. NUEVA ITALIA,16,1
497,COSTA NORTE,COSTA NORTE,16,1
498,LAGUNA BLANCA,LAGUNA BLANCA,16,1
499,RINCON,RINCON,16,1
500,SANTA ROSA,SANTA ROSA,16,1
501,TACUATI,TACUATI,17,1
502,8 DE DICIEMBRE,8 DE DICIEMBRE,17,1
503,ACA POI,ACA POI,17,1
504,AGUARA RUGUAY,AGUARA RUGUAY,17,1
505,AGUERITO,AGUERITO,17,1
506,APAREJO,APAREJO,17,1
507,ARROYO ITA,ARROYO ITA,17,1
508,BARRERITO,BARRERITO,17,1
